"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III","T.Score","T.Rank"
"yermak",3039.404,1,"","","X","","","","","","X","","","X","","","X","","","X","","X","","","","","","","X","X","","","","","","","","X","","","X","","","X","","","X","X","","","","","X","","","X","","","","","","","X","","","","","X","","","X","","","X",5608,1
"bagonaho",2944.935,2,"","","X","X","","","","X","","X","","","","X","","","X","","","","X","","X","","","X","","","","X","","X","","","","X","","","X","","","X","","X","","","","X","X","","","","","X","","X","","","","X","","","","X","","","","","X","","","X",3044,15
"p0werm0de",1142.83,3,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","","X","","X","","","","","","","","X","","","X","","","X","X","","","X","","","X","","","","X","","","","","","","X","","X","","","","X","","X","","","","X",3271,12
"snack",1041.277,4,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","","X","","","X","","","","","","X","","","X","","","X","","","X","","X","","X","","","X","","","","","X","","","","X","","","","","","X","","","","","X","","","X",3414,10
"hungryspirit",974.051,5,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","","","","X","","","X","","","","","","","X","","","X","","X","","","X","","X","","","X","","","","","X","","","","X","","","","X","","","X","","","","X","","","X",2321,50
"eld",918.209,6,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","","X","","","","X","","","X","","","","","X","","","X","X","","","X","","","","","X","","","X","","","X",3997,4
"kimkast",857.266,7,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","X","","","X","","X","","","","X","X","","","","","","","","X","","","","X","","","","","","","X","","","X","","","","X",2654,31
"radinms",628.423,8,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","X","","","X","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",1251,157
"wormsofcant",619.279,9,"X","","","","","","","X","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","X","X","","","","","","","","","","","","","","","X","","","","","",1199,167
"anonymous1",614.841,10,"","","X","X","","","X","","","","","X","","X","","","X","","","","X","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","X","","","","X","","","","","X","","","","","","","","X","","X","","","","X",2765,23
"inmateoo",574.466,11,"","","X","X","","","","X","","","","X","","X","","","","X","","X","","","","","","","X","X","","","","","","","","X","","","X","","X","","","X","","X","","","X","","","","","X","","","","X","","","","","","","X","","","","X","","","X",3565,9
"sanbaizu",542.631,12,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","X","","","X","","","","X","","","","","","X","","","","","","","X","","","","X","","","","","X","X","","","","","","X","","","","X","","","","",1095,190
"mopl",521.208,13,"","X","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","","","","X","","","","","X","","","","","","","","X","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",598,367
"sharkman1231",481.728,14,"","","X","X","","","","","X","","","X","","X","","","X","","","X","","","","","","","X","X","","","","","","","","X","","","X","","","X","","","","","","X","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X",3167,14
"glosham",446.273,15,"","X","","","","","X","","","","","","X","","","X","","","","","X","","","","","","","","","","","","","","","","","","X","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","X","",1584,102
"shotax",417.802,16,"X","","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","X","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","","","",818,266
"charly",394.571,17,"","","X","X","","","","","X","","","X","","X","","","X","","","X","","","","","","","X","X","","","","","","","","X","","X","","","","X","","X","","","","","X","","","","","X","","","","X","","","","","","","X","","","X","","","","X",4473,2
"n103509",367.563,18,"","","X","","","","","X","","","","X","","X","","","X","","","X","","","X","","","X","","X","","","","","","","","X","","","X","","","X","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","X","","X","",2404,45
"dynast",362.797,19,"","","X","","","","","","X","","","X","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","X","","","X","","","","","X","","","","X","","","","","","","","","","","","","X","","X","","","","X",3933,5
"rast",354.261,20,"","","X","X","","","","X","","X","","","X","","","","","X","","X","","","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","X","","","","","X","","","","","","","","X","","X","","","","X",2540,39
"shummie",348.435,21,"","","X","","","","X","","","X","","","X","","","","","X","","X","","","","","X","","","","","","","","","","X","","X","","","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","","","X","","X","","","","X",1527,106
"chobophobe",344.176,22,"","X","","X","","","X","","","X","","","X","","","X","","","","X","","","","X","","X","","","","","X","","","","","","","","X","","","X","","","","X","","","","X","","X","","","","","","","","","","","","X","","","","X","","","","",1797,78
"bluepin",340.896,23,"","","X","X","","","","","X","","","X","","X","","","X","","","X","","","","","X","","","X","","","","","","","","X","","","","","X","","","","","","","","X","","","","","X","X","","","","","","","","","","X","","","X","","","","X",3893,7
"leszczynek",336.666,24,"","","X","","","","","","X","X","","","X","","","","","X","","X","","","","","","","","X","","","","","","","X","","","","","","","X","","X","","","","","","","","","","","","","","X","","","","","","X","","","","X","","","","X",2776,22
"azuredreams",336.358,25,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","","","","","","",215,710
"brainstorm",335.769,26,"","X","","X","","","X","","","","","","X","","","","","X","","X","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","X","","","","X","","","","","","","","","","","","","X","","X","","","","","X",1224,163
"beargit",333.924,27,"","","X","","","","","","X","","X","","","X","","","X","","","X","","X","","","","","X","","","","","","","","","X","X","","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","","","X","","","X",3918,6
"thug4l1f3",333.693,28,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","X","","","","X","","","X","","","","","X","","","","","","","X","","X","","","X","","","","","","X","","","X","","","X","","","X","","","X","","",660,337
"sribri",332.83,29,"","","X","X","","","X","","","","","","","X","","","X","","","X","","","","","X","","","X","","","X","","","","X","","X","","","","X","","","","","","","X","X","","","X","","","","","","X","","","X","","","","","X","","X","","","","X",2051,65
"brathek",327.928,30,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","","X","","X","","","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X",3309,11
"toastedzergling",327.849,31,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","X","","","","","","","","","","","","","","X","","X","","","","","X","","","","X","","","","X","","","","","","","","","","","X","","","X","","","X","",2750,24
"walkerboh",314.283,32,"","X","","","","","","","X","","X","","X","","","X","","","","X","","","","X","","X","","","","","","","","","","","","","X","","","X","","X","","","","","","","","","X","","","","","","","","","","","X","","","","X","","","","",2494,41
"sdynet",311.708,33,"","","X","X","","","","","X","","","X","X","","","","X","","","X","","","","","X","","","X","","","","","","","","X","","","","","","X","","X","","","","","","","","X","","","","","","X","","","","","","","","X","","X","","","","X",2879,17
"staplegun",308.88,34,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","X","","","","X","","","X","","","","","","","","","","X","","","","","","","","","","","X","","","X","","","","X",2834,18
"dstrtn",299.347,35,"X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","",257,640
"gorglomux",298.417,36,"","","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","","X","","X","","X","","","X","","","X","","","","","","X","","","","","","","","X","","X","","","","X",3233,13
"angani",294.865,37,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","X","","X","","","","","","","","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","","","","","","","","","X","","","X","","","","","",1199,167
"morganleah",294.155,38,"","","X","","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","","","X","","","X","","X","","","","","","","","X","","","","X","","","","","","X","","","","X","","","","X",2829,19
"mdvedh",293.913,39,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","X","","","","X","","","","","","","","","","X","","X","","","","X","","X","","","","","","","","","","X","","","","X","","","","","","X","","","","X","","","","X",2669,30
