Name                         Score      Rank   T.Score    T.Rank
yermak                    3250.034         1      7670         1
stickyfingers             2500.835         2      4358        18
bagonaho                  1954.687         3      3098        54
bluepin                   1605.955         4      4866         9
snack                     1595.692         5      5152         8
charly                    1457.233         6      5879         6
beargit                   1392.111         7      6313         4
shotax                    1293.529         8      2571       104
dying5ever                1281.636         9      5225         7
enterq                    1266.110        10      2714        91
sharkman1231              1241.661        11      4316        20
p0werm0de                 1187.568        12      4865        10
gerad                     1084.133        13      3558        36
ytcomultraviolent4        1031.986        14      5902         5
hungryspirit              1005.395        15      3349        42
eld                        970.628        16      3957        28
mibe                       956.678        17      6779         3
tittycrusher               946.832        18      4193        21
rubinko                    918.593        19      4665        14
manman                     888.547        20      6856         2
glosham                    833.194        21      3314        47
inmateoo                   828.572        22      4409        17
wormsofcant                802.218        23      2505       109
rast                       785.064        24      3452        41
realz                      773.242        25      4809        11
gorglomux                  761.989        26      4779        12
neondemon                  730.224        27      3453        40
doesnt                     725.617        28      2396       118
tidbits                    689.542        29      3051        57
rbrandon                   687.503        30      3317        46
stonar                     683.740        31      1871       191
toastedzergling            680.802        32      3990        26
kurtz                      676.099        33      2348       122
melvina                    660.715        34      3621        35
sanbaizu                   659.497        35      1095       390
chobophobe                 639.392        36      4091        23
thereisnogod               626.145        37      2055       153
brathek                    619.282        38      4737        13
jannitor                   618.965        39      2229       136
gordonoverkill             614.764        40      4027        24
radinms                    601.728        41      1961       176
tself55                    584.993        42      4437        16
anonymous1                 545.563        43      3784        30
thug4l1f3                  544.130        44      1491       280
kimkast                    513.318        45      2727        88
hellonello                 495.834        46      3329        43
azuredreams                492.023        47       368       886
laularukyrumo              476.316        48       693       602
vo280                      473.684        49      2430       116
aviak                      467.299        50      2833        74
magipi                     464.973        51      2722        90
cobra                      452.985        52      2199       137
n103509                    451.411        53      3539        37
angani                     449.963        54      2646        95
ge0ff                      446.225        55      3649        34
walkerboh                  425.657        56      3699        32
lasty                      409.444        57      4358        18
gooddemon3                 405.636        58      2478       112
rkdn42                     404.621        59      2738        87
suckerboh                  403.405        60      2607        98
dynast                     397.981        61      4449        15
zkyp                       397.796        62      3778        31
sergey                     396.431        63      3060        56
iksarhs                    394.878        64      3172        49
daviar                     389.969        65      2622        97
emikaela                   388.360        66      3188        48
tickenest                  381.276        67      2516       107
likado                     378.324        68      4145        22
chish                      375.611        69      2601       100
mopl                       361.294        70      1121       379
tenshin                    356.413        71      2912        68
raiza                      354.657        72      2695        92
fearitself                 345.893        73      3517        38
gimp                       341.282        74      2763        81
4tharraofdagon             340.825        75      1439       291
sribri                     337.757        76      2342       124
puimur                     336.190        77      2583       102
sdynet                     333.600        78      2846        72
morganleah                 332.648        79      2844        73
ducks72                    331.978        80      3320        45
mrchinwatt                 328.790        81      1611       250
monsterracer               328.035        82      3148        51
